Date,Open,High,Low,Close,Adj Close,Volume
2013-03-20,15673.980469,15673.980469,3737.389893,3914.719971,3914.719971,11389
2013-03-21,3914.719971,4256.229980,3914.719971,4256.229980,4256.229980,10000
2013-03-22,4256.229980,4256.229980,4256.229980,4256.229980,4256.229980,0
2013-03-23,4256.229980,4393.310059,4256.229980,4393.310059,4393.310059,9884
2013-03-24,4393.310059,4455.180176,4393.310059,4455.180176,4455.180176,1000
2013-03-25,4455.180176,4741.709961,4455.180176,4741.709961,4741.709961,12499
2013-03-26,4741.709961,4741.709961,4741.709961,4741.709961,4741.709961,0
2013-03-27,4741.709961,5740.189941,4741.709961,5740.189941,5740.189941,4305
2013-03-28,5740.189941,5740.189941,5740.189941,5740.189941,5740.189941,0
2013-03-29,5740.189941,5981.759766,5740.189941,5981.759766,5981.759766,1000
2013-03-30,5981.759766,5981.759766,5981.759766,5981.759766,5981.759766,0
2013-03-31,5981.759766,5981.759766,5981.759766,5981.759766,5981.759766,0
2013-03-31,5981.759766,5981.759766,5981.759766,5981.759766,5981.759766,0
2013-04-01,5981.759766,5981.759766,5981.759766,5981.759766,5981.759766,0
2013-04-02,5981.759766,7943.390137,5981.759766,7943.390137,7943.390137,19943
2013-04-03,7943.390137,8595.799805,7943.390137,8595.799805,8595.799805,9500
2013-04-04,8595.799805,8751.459961,8595.799805,8751.459961,8751.459961,8750
2013-04-05,6533.290039,7481.490234,6533.290039,7481.490234,7481.490234,149
2013-04-06,7481.490234,7481.490234,7481.490234,7481.490234,7481.490234,0
2013-04-07,7481.490234,7481.490234,7481.490234,7481.490234,7481.490234,0
2013-04-08,8751.459961,13689.120117,8751.459961,11183.940430,11183.940430,42184
2013-04-09,11183.940430,11183.940430,11183.940430,11183.940430,11183.940430,0
2013-04-10,11183.940430,11183.940430,11183.940430,11183.940430,11183.940430,0
2013-04-11,11183.940430,11183.940430,11183.940430,11183.940430,11183.940430,0
2013-04-12,11183.940430,14027.690430,8500.000000,14027.690430,14027.690430,1499
2013-04-13,13198.120117,13198.120117,8500.000000,8500.000000,8500.000000,8500
2013-04-14,14027.690430,14027.690430,11925.679688,11925.679688,11925.679688,999
2013-04-15,11925.679688,11925.679688,7932.500000,7932.500000,7932.500000,499
2013-04-16,7932.500000,9875.730469,7932.500000,9875.730469,9875.730469,2499
2013-04-17,9875.730469,9875.730469,9875.730469,9875.730469,9875.730469,0
2013-04-18,9875.730469,9875.730469,9875.730469,9875.730469,9875.730469,0
2013-04-19,9875.730469,9875.730469,9875.730469,9875.730469,9875.730469,0
2013-04-20,7481.490234,7481.490234,6173.089844,6173.089844,6173.089844,11543
2013-04-21,6173.089844,6173.089844,6173.089844,6173.089844,6173.089844,0
2013-04-22,6173.089844,6173.089844,6173.089844,6173.089844,6173.089844,0
2013-04-23,6173.089844,6173.089844,6173.089844,6173.089844,6173.089844,0
2013-04-24,6173.089844,6173.089844,6173.089844,6173.089844,6173.089844,0
2013-04-25,9875.730469,9875.730469,7821.459961,7821.459961,7821.459961,3128
2013-04-26,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-04-27,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-04-28,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-04-29,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-04-30,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-05-01,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-05-02,7821.459961,7821.459961,7821.459961,7821.459961,7821.459961,0
2013-05-03,7821.459961,7821.459961,6147.069824,6147.069824,6147.069824,6115
2013-05-04,6147.069824,6147.069824,6147.069824,6147.069824,6147.069824,0
2013-05-05,6147.069824,6147.069824,6147.069824,6147.069824,6147.069824,0
2013-05-06,6147.069824,7217.120117,6147.069824,7217.120117,7217.120117,7220
2013-05-07,6173.089844,6173.089844,5997.779785,5997.779785,5997.779785,2979
2013-05-08,5997.779785,5997.779785,5997.779785,5997.779785,5997.779785,0
2013-05-09,5997.779785,5997.779785,5997.779785,5997.779785,5997.779785,0
2013-05-10,5997.779785,5997.779785,5997.779785,5997.779785,5997.779785,0
2013-05-11,5997.779785,5997.779785,5997.779785,5997.779785,5997.779785,0
2013-05-12,5997.779785,5997.779785,5997.779785,5997.779785,5997.779785,0
2013-05-13,7217.120117,7810.149902,7217.120117,7810.149902,7810.149902,999
2013-05-14,7810.149902,7810.149902,7810.149902,7810.149902,7810.149902,0
2013-05-15,7810.149902,7810.149902,7810.149902,7810.149902,7810.149902,0
2013-05-16,7810.149902,7810.149902,7810.149902,7810.149902,7810.149902,0
2013-05-17,7810.149902,7810.149902,7810.149902,7810.149902,7810.149902,0
2013-05-18,7810.149902,7810.149902,7810.149902,7810.149902,7810.149902,0
2013-05-19,7810.149902,7810.149902,7810.149902,7810.149902,7810.149902,0
2013-05-20,7810.149902,7852.330078,7810.149902,7852.330078,7852.330078,7852
2013-05-21,7852.330078,7852.330078,7852.330078,7852.330078,7852.330078,0
2013-05-22,7852.330078,7852.330078,7852.330078,7852.330078,7852.330078,0
2013-05-23,7852.330078,8144.870117,7852.330078,8144.870117,8144.870117,8144
